title,category,focus,reps,time,intensity,equipment,imgLink,resources,description
arnold press,indoor,shoulders,10,0,1,dumbbells,https://cdn.pixabay.com/photo/2016/12/04/22/15/fitness-1882721_1280.jpg,https://www.youtube.com/watch?v=6Z15_WdXmVw,This is a shoulder press that involves rotating the arms from a pronated to a supinated position
back extension,indoor,back,10,0,2,bench,https://www.aleanlife.com/wp-content/uploads/2014/08/hyperextension-exercise-1200x720.jpg,https://www.youtube.com/watch?v=ph3pddpKzzw,"This is a lower back exercise in which the body is bent at the waist, typically over a hyperextension bench, exercise ball or other equipment"
bench press,gym,chest,5,0,2,"barbell, bench",https://images.pexels.com/photos/3837781/pexels-photo-3837781.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://www.youtube.com/watch?v=gRVjAtPip0Y,This is an exercise in which the weight is pressed upwards from a lying position on a bench
bicep curl,indoor,arms,15,0,1,dumbbells,http://i3.ytimg.com/vi/uO_CNYidOw0/maxresdefault.jpg,https://www.youtube.com/watch?v=uO_CNYidOw0,"This is an exercise in which weight is pulled using the biceps muscle in a ""curling"" movement of the elbow"
burpee,outdoor,full,10,0,1,,https://cdn.pixabay.com/photo/2016/09/21/23/08/sport-1685977_1280.jpg,https://www.youtube.com/watch?v=dZgVxmf6jkA,"This is a cardio exercise which requires squatting down, kicking the feet back and extending the body, bringing the feet back in, then jumping straight up"
cable crossover,gym,chest,15,0,2,machine,https://upload.wikimedia.org/wikipedia/commons/8/8f/Personal_Training_at_a_Gym_-_Cable_Crossover.JPG,https://www.youtube.com/watch?v=aoP0s_MjN-g,"This is an exercise in which the arms pull on cables, in an arc, until they meet in front of the chest. "
calf raise,indoor,legs,15,0,0,,https://images.pexels.com/photos/3756042/pexels-photo-3756042.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://www.youtube.com/watch?v=UV8gOrHmuKc,"This is an exercise in which the body is pressed up solely through movement of the ankles, thus activating the calf muscles"
clean,gym,shoulders,5,0,2,barbell,http://i3.ytimg.com/vi/EKRiW9Yt3Ps/maxresdefault.jpg,https://www.youtube.com/watch?v=EKRiW9Yt3Ps,The lifter moves a barbell from the floor to a racked position across the deltoids
clean and jerk,gym,shoulders,5,0,2,barbell,https://images.pexels.com/photos/841130/pexels-photo-841130.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://www.youtube.com/watch?v=9HyWjAk7fhY,"The clean and jerk involves first lifting a barbell from the floor to the deltoids (clean), and then raising the barbell above the head, finishing with straight arms and legs (jerk)"
crunch,indoor,torso,15,0,0,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Abdominal_Exercise.jpg/1280px-Abdominal_Exercise.jpg,https://www.youtube.com/watch?v=4hmQA3snTyk,An exercise in which the shoulders are lifted off the ground by contracting the abdominal muscles
deadlift,gym,torso,5,0,1,barbell,https://images.pexels.com/photos/703014/pexels-photo-703014.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://www.youtube.com/watch?v=r4MzxtBKyNE,This is an exercise in which weight is pulled up by extending the hips and knee
bench dip,gym,arms,10,0,2,bench,http://i3.ytimg.com/vi/0326dy_-CzM/maxresdefault.jpg,https://www.youtube.com/watch?v=0326dy_-CzM,This is an exercise in which the body is hanging and supported by both arms holding on to parallel bars or other supporting structures. The body weight is lifted by pressing on the arms.
front raise,indoor,shoulders,15,0,0,dumbbells,http://i3.ytimg.com/vi/sOcYlBI85hc/maxresdefault.jpg,https://www.youtube.com/watch?v=sOcYlBI85hc,"This is a shoulder exercise in which arms are lifted in an arc in front of the body, with the elbow angle kept constant"
high knees,outdoor,legs,15,0,0,,http://i3.ytimg.com/vi/bZUfaLxJ36M/maxresdefault.jpg,https://www.youtube.com/watch?v=oDdkytliOqE,This is a cardio exercise which requires running by bringing the knees high so that the hip makes at least a right angle
hip extension,gym,glutes,10,0,1,machine,http://i3.ytimg.com/vi/0DWMi7dA39Y/maxresdefault.jpg,https://www.youtube.com/watch?v=0DWMi7dA39Y,This is an exercise in which weight is pulled by extending the hip
hip raise,indoor,glutes,15,0,1,yoga mat,http://i3.ytimg.com/vi/fDP6O_aJpDg/maxresdefault.jpg,https://www.youtube.com/watch?v=fDP6O_aJpDg,This is an exercise in which the hip is raised off the ground by contracting the abdominal muscles. The legs are kept in a fixed position.
jm press,gym,arms,5,0,2,"barbell, bench",https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Bench_press_1.jpg/1280px-Bench_press_1.jpg,https://www.youtube.com/watch?v=fkHmqXirlho,"This is a triceps exercise in which weight is pressed up from the chest mainly through an extension of the elbow, thus focusing on the triceps"
jumping jack,outdoor,full,15,0,1,,https://images.pexels.com/photos/6455594/pexels-photo-6455594.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://www.youtube.com/watch?v=c4DAnQ6DtF8,This is a cardio exercise which requires jumping between a position with arms to the side and legs together to a second position with arms straight above the head and legs wide apart
lateral raise,indoor,shoulders,15,0,1,dumbbells,https://images.pexels.com/photos/2475521/pexels-photo-2475521.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://www.youtube.com/watch?v=kDqklk1ZESo,"This is a shoulder exercise in which arms are lifted laterally in an arc, with the elbow angle kept constant"
hamstring curl,gym,legs,10,0,2,machine,http://i3.ytimg.com/vi/F488k67BTNo/maxresdefault.jpg,https://www.youtube.com/watch?v=F488k67BTNo,"This is an exercise in which weight is pulled up with the legs by ""curling"" the knees"
quad extension,gym,legs,15,0,1,machine,https://upload.wikimedia.org/wikipedia/commons/3/36/LegExtensionMachineExercise.JPG,https://www.youtube.com/watch?v=vRQpiTwUeyM,This is an exercise in which weight is pushed up by extending the knees. It is usually performed in a seated position so that only the thighs are kept in a fixed position and only the lower leg moves.
leg raise,indoor,legs,15,0,1,yoga mat,https://cdn.pixabay.com/photo/2016/09/21/22/47/sport-1685897_1280.jpg,https://www.youtube.com/watch?v=JB2oyawG9KI,This is an exercise in which legs are raised up from a lying position while keeping knees and rest of the body straight
lunge,indoor,legs,15,0,0,,https://images.pexels.com/photos/5067670/pexels-photo-5067670.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://www.youtube.com/watch?v=Z2n58m2i4jg,"This is an exercise in which weight is pressed up from a position in which one leg is in front of the body with knee bent and foot flat on the ground, and the other leg is behind the body. The body is pressed up so that both knees are straightened."
pike press,indoor,shoulders,5,0,1,,https://images.pexels.com/photos/3822118/pexels-photo-3822118.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://www.youtube.com/watch?v=P-_1Q4IlZDg,This is a shoulder-activating exercise where the body weight is pressed upwards from a V body position
plank,indoor,torso,0,2,1,,https://images.pexels.com/photos/2294354/pexels-photo-2294354.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://www.youtube.com/watch?v=yeKv5oX_6GY,"This is an isometric exercise in which the body weight is supported by the arms and feet, and the upper body and legs are kept straightened and rigid, facing down, in a ""plank"" position"
lat pulldown,gym,shoulders,10,0,2,machine,https://upload.wikimedia.org/wikipedia/commons/f/f8/PulldownMachineExercise.JPG,https://www.youtube.com/watch?v=j9jtjL8FhPI,"This is a back exercise in which weight is pulled down from above the body, usually performed by pulling down on a cable"
pullover,gym,chest,10,0,2,dumbbells,http://i3.ytimg.com/vi/KQOBt5gjkSI/maxresdefault.jpg,https://www.youtube.com/watch?v=KQOBt5gjkSI,This is a chest exercise in which the weight is pulled over the head with elbows slightly bent
pullup,gym,arms,5,0,2,,https://images.pexels.com/photos/791764/pexels-photo-791764.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://www.youtube.com/watch?v=eGo4IYlbE5g,This is an exercise in which the body is suspended and the weight is pulled up by pulling on a bar. The hands grip the bar in an overhand fashion (the back of the hands facing the body).
pushup,indoor,shoulders,10,0,1,,https://images.pexels.com/photos/4727556/pexels-photo-4727556.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://www.youtube.com/watch?v=IODxDxX7oi4,The push-up is an exercise in which the body is lifted from a prone position by pressing with the arms
row,gym,arms,15,0,2,machine,http://i3.ytimg.com/vi/7qK7x-d8V2A/maxresdefault.jpg,https://www.youtube.com/watch?v=7qK7x-d8V2A,This is a back exercise in which weights and arms are pulled back towards the body
russian twist,indoor,torso,10,0,1,,https://cdn.pixabay.com/photo/2016/02/16/19/16/abdominal-1203881_1280.jpg,https://www.youtube.com/watch?v=wkD8rjkodUI,The Russian Twist involves a repeated twisting motion of the abdomen
shoulder press,indoor,shoulders,10,0,2,dumbbells,http://i3.ytimg.com/vi/B-aVuyhvLHU/maxresdefault.jpg,https://www.youtube.com/watch?v=B-aVuyhvLHU,This is an exercise in which the weight is pressed straight upwards from the shoulders
side skaters,indoor,glutes,15,0,1,,http://i3.ytimg.com/vi/ANAesr4bnJw/maxresdefault.jpg,https://www.youtube.com/watch?v=ANAesr4bnJw,"This is an exercise in which a lateral jump is performed, landing on one foot, with the alternate leg outstretched behind. "
situp,indoor,torso,15,0,0,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Woman_doing_sit_ups_with_guidance_from_an_iPad.jpg/1280px-Woman_doing_sit_ups_with_guidance_from_an_iPad.jpg,https://www.youtube.com/watch?v=1fbU_MkV7NE,An exercise in which the entire back is lifted off the ground by contracting the abdominal muscles
squat,indoor,glutes,15,0,0,,https://cdn.pixabay.com/photo/2019/10/18/15/02/remove-4559344_1280.jpg,https://www.youtube.com/watch?v=aclHkVaku9U,This is an exercise in which the body weight is pushed up with the legs from a position with knees bent at a 90 degree angle
step up,outdoor,glutes,15,0,0,,https://images.pexels.com/photos/3799235/pexels-photo-3799235.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://www.youtube.com/watch?v=VJtMb2im41c,This is an exercise in which the body weight is pushed up by stepping up into a higher platform with one leg
thruster,indoor,shoulders,10,0,2,dumbbells,https://i.ytimg.com/vi/u3wKkZjE8QM/maxresdefault.jpg,https://www.youtube.com/watch?v=uMo-Dd5v334,This is an exercise which involves pressing weight up with the legs from a bent-knee position and pressing the weight up by extending the arms
triceps extension,indoor,arms,10,0,2,dumbbells,http://i3.ytimg.com/vi/nRiJVZDpdL0/maxresdefault.jpg,https://www.youtube.com/watch?v=nRiJVZDpdL0,This is an exercise in which weight is pressed overhead by extending the elbows
v ups,indoor,torso,15,0,1,yoga mat,https://cdn.pixabay.com/photo/2016/09/21/22/46/sport-1685896_1280.jpg,https://www.youtube.com/watch?v=iP2fjvG0g3w,"This is an exercise in which both the entire back and the legs are lifted off the ground simultaneously, forming a ""V"" with the body"
wall sit,indoor,legs,0,2,1,,https://trexfitness.hu/wp-content/uploads/2020/05/wall-sit.jpg,https://www.youtube.com/watch?v=-cdph8hv0O0,This is an isometric exercise in which knees and hips are kept at right angles with the back against a wall
wide grip dip,gym,chest,10,0,2,machine,https://cdn1.coachmag.co.uk/sites/coachmag/files/styles/insert_main_wide_image/public/2017/12/triceps-dip.jpg?itok=DAtlkv-h,https://www.youtube.com/watch?v=sM6XUdt1rm4,This is an exercise in which the body is hanging and supported by both arms holding on to parallel bars or other supporting structures. The body weight is lifted by pressing on the arms.
basketball,outdoor,full,0,30,1,,https://images.pexels.com/photos/5384587/pexels-photo-5384587.jpeg,https://www.youtube.com/watch?v=BnvGa0I8bMc,A sport in which two teams try to shoot a ball into the opposing team's net.
biking,outdoor,legs,0,30,1,bike,https://cdn.pixabay.com/photo/2016/11/18/12/49/bicycle-1834265_1280.jpg,https://www.youtube.com/watch?v=GyLlw1CgXf8&t=32s,Strengthen your thighs and calve muscles by going on a bike ride!
boxing,gym,full,0,30,2,,https://cdn.pixabay.com/photo/2017/10/06/06/51/boxing-2822129_1280.jpg,https://www.youtube.com/watch?v=kKDHdsVN0b8,"A combat sport in which two people, usually wearing protective gloves and other protective equipment such as hand wraps and mouthguards, throw punches at each other for a predetermined amount of time in a boxing ring. "
crossfit,gym,full,0,60,2,,https://cdn.pixabay.com/photo/2014/06/23/19/45/barbell-375482_1280.jpg,https://www.crossfit.com/,"A branded fitness regimen that has gained immense popularity, with workouts based on high intensity interval training"
dancing,indoor,full,0,30,1,,https://images.pexels.com/photos/761963/pexels-photo-761963.jpeg,https://www.steezy.co/,Uplift your mood and workout your entire body by dancing!
hiking,outdoor,legs,0,60,2,,https://cdn.pixabay.com/photo/2014/09/21/17/56/mountaineering-455338_1280.jpg,https://www.google.com/search?q=hiking+spot+near+me,Strengthen your legs and build your stamina by exploring nature!
jump rope,indoor,legs,0,10,1,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/US_Navy_101101-N-2821G-032_Rear_Adm._Mark_D._Guadagnini%2C_commander_of_the_Abraham_Lincoln_Carrier_Strike_Group%2C_leads_a.jpg/800px-US_Navy_101101-N-2821G-032_Rear_Adm._Mark_D._Guadagnini%2C_commander_of_the_Abraham_Lincoln_Carrier_Strike_Group%2C_leads_a.jpg,https://www.youtube.com/watch?v=PUCQ2pvnyW4,Build muscle strength and endurance by jumping rope. Try different techniques!
kickboxing,gym,full,0,60,2,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/US_Navy_040329-N-9296W-004_Lt._Dave_Merrifield_and_other_students_enjoy_a_kickboxing_workout_from_instructor_Laura_Galloway_in_the_Fit_Zone_Gym_aboard_Naval_Support_Activity_Naples%2C_Italy.jpg/1280px-thumbnail.jpg,https://www.google.com/search?q=kickboxing+class+near+me,Boxing in which boxers are permitted to kick with bare feet as in karate. 
pilates,indoor,full,0,60,2,,https://cdn.pixabay.com/photo/2016/09/21/22/46/sport-1685896_1280.jpg,https://www.google.com/search?q=pilates+class+near+me,An exercise regimen that is typically performed on a floor mat or with the use of specialized apparatus and aims to improve flexibility and stability by strengthening the muscles and especially the torso-stabilizing muscles of the abdomen and lower back
rock climbing,gym,full,0,30,2,,https://cdn.pixabay.com/photo/2017/02/26/20/15/climbing-2101262_1280.jpg,https://www.youtube.com/watch?v=E9_jyAh36YU,"The sport or activity of climbing rock faces, especially with the aid of ropes and special equipment."
running,outdoor,full,0,30,2,,https://cdn.pixabay.com/photo/2017/08/06/12/52/people-2592247_1280.jpg,https://zombiesrungame.com/,"The runner's high is no myth; build your endurance, strength, and stamina by going on a run."
swimming,gym,full,0,30,2,,https://cdn.pixabay.com/photo/2013/02/09/04/23/swimmers-79592_1280.jpg,https://www.youtube.com/watch?v=nAPI9lWjgL8,"Swimming builds endurance, muscle strength, and cardiovascular fitness. helps maintain a healthy heart and lungs!"
walking,outdoor,legs,0,30,0,,https://cdn.pixabay.com/photo/2020/04/28/05/57/tree-5102896_1280.jpg,https://zombiesrungame.com/,"Improve your overall health by taking a walk! Improve your circulation, strengthen your muscles, and support your joints."
yoga,indoor,full,0,60,1,yoga mat,https://cdn.pixabay.com/photo/2017/07/31/11/41/people-2557546_1280.jpg,https://www.youtube.com/watch?v=rylnYQ5Eunc,"A group of physical, mental, and spiritual practices or disciplines which originated in ancient India, including breath control, simple meditation, and the adoption of specific bodily postures, is widely practiced for health and relaxation."
zumba,gym,full,0,60,1,,https://cdn.pixabay.com/photo/2019/06/30/20/09/zumba-4308708_1280.jpg,https://www.zumba.com/en-US/,An aerobic fitness program featuring movements inspired by various styles of Latin American dance and performed primarily to Latin American dance music.
